,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,negMarketValue,dealAmount,turnoverRate,accumAdjFactor,turnoverValue,marketValue,isOpen,vwap
663,600519.XSHG,600519,贵州茅台,XSHG,2012-09-24,153.975,230.59,152.914,155.571,152.299,155.157,2133814,241231504800,5011.0,0.0017,0.6677445769,408195808,241231504800,1,154.564
664,600519.XSHG,600519,贵州茅台,XSHG,2012-09-25,155.157,232.36,155.231,159.311,154.583,159.264,3173891,247616311800,7653.0,0.0025,0.6677445769,619272060,247616311800,1,157.647
665,600519.XSHG,600519,贵州茅台,XSHG,2012-09-26,159.264,238.51,158.923,160.633,156.052,157.501,2463883,244875516600,4946.0,0.002,0.6677445769,482230816,244875516600,1,158.136
666,600519.XSHG,600519,贵州茅台,XSHG,2012-09-27,157.501,235.87,156.92,161.314,156.606,160.719,3283991,249879544200,7247.0,0.0026,0.6677445769,650222910,249879544200,1,159.976
667,600519.XSHG,600519,贵州茅台,XSHG,2012-09-28,160.719,240.69,159.604,164.232,159.591,164.132,3785296,255184644000,9426.0,0.003,0.6677445769,760146560,255184644000,1,162.253
668,600519.XSHG,600519,贵州茅台,XSHG,2012-10-08,164.132,245.8,163.798,163.798,158.576,160.219,2856602,249100909200,6988.0,0.0023,0.6677445769,566527550,249100909200,1,160.239
669,600519.XSHG,600519,贵州茅台,XSHG,2012-10-09,160.219,239.94,160.913,163.631,160.285,163.03,2832718,253471647000,7511.0,0.0023,0.6677445769,569554620,253471647000,1,162.453
670,600519.XSHG,600519,贵州茅台,XSHG,2012-10-10,163.03,244.15,162.262,163.484,160.76,162.809,1628261,253129047600,4335.0,0.0013,0.6677445769,327126304,253129047600,1,162.326
671,600519.XSHG,600519,贵州茅台,XSHG,2012-10-11,162.809,243.82,161.828,162.763,161.013,161.547,1285745,251166887400,4188.0,0.001,0.6677445769,257483488,251166887400,1,161.804
672,600519.XSHG,600519,贵州茅台,XSHG,2012-10-12,161.547,241.93,162.008,163.457,161.414,162.602,1420797,252807211800,4043.0,0.0011,0.6677445769,285916672,252807211800,1,162.594
673,600519.XSHG,600519,贵州茅台,XSHG,2012-10-15,162.602,243.51,163.444,165.093,163.444,164.072,2284883,255091207800,5415.0,0.0018,0.6677445769,464547296,255091207800,1,164.271
